genus,species,MFG
Cladophora,,10a-FilaChlorp
Planctonema,lauterbornii,10a-FilaChlorp
Ulothrix,,10a-FilaChlorp
Mougeotia,,10b-FilaConj
Spirogyra,,10b-FilaConj
Spondylosium,planum,10b-FilaConj
Tribonema,,10c-FilaXant
Actinastrum,hantzschii,11a-NakeChlor
Acutodesmus,dimorphus,11a-NakeChlor
Ankistrodesmus,,11a-NakeChlor
Botryococcus,braunii,11a-NakeChlor
Coelastrum,astroideum,11a-NakeChlor
Coelastrum,indicum,11a-NakeChlor
Coelastrum,microporum,11a-NakeChlor
Coelastrum,,11a-NakeChlor
Coelastrum,verrucosum,11a-NakeChlor
Crucigenia,quadrata,11a-NakeChlor
Crucigeniella,apiculata,11a-NakeChlor
Crucigeniella,rectangularis,11a-NakeChlor
Desmodesmus,brasiliensis,11a-NakeChlor
Desmodesmus,denticulatus,11a-NakeChlor
Desmodesmus,quadricauda,11a-NakeChlor
Hariotina,reticulata,11a-NakeChlor
Lagerheimia,ciliata,11a-NakeChlor
Lagerheimia,quadriseta,11a-NakeChlor
Micractinium,pusillum,11a-NakeChlor
Monactinus,simplex,11a-NakeChlor
Monactinus,simplex,11a-NakeChlor
Mychonastes,elegans,11a-NakeChlor
Parapediastrum,biradiatum,11a-NakeChlor
Pediastrum,boryanum,11a-NakeChlor
Pediastrum,duplex,11a-NakeChlor
Pediastrum,simplex,11a-NakeChlor
Pseudopediastrum,boryanum,11a-NakeChlor
Scenedesmus,acutus,11a-NakeChlor
Scenedesmus,arcuatus,11a-NakeChlor
Scenedesmus,armatus,11a-NakeChlor
Scenedesmus,bijuga,11a-NakeChlor
Scenedesmus,brasiliensis,11a-NakeChlor
Scenedesmus,communis,11a-NakeChlor
Scenedesmus,costatogranulatus,11a-NakeChlor
Scenedesmus,dimorphus,11a-NakeChlor
Scenedesmus,ellipticus,11a-NakeChlor
Scenedesmus,linearis,11a-NakeChlor
Scenedesmus,obliquus,11a-NakeChlor
Scenedesmus,platydiscus,11a-NakeChlor
Scenedesmus,quadricauda,11a-NakeChlor
Scenedesmus,spinosus,11a-NakeChlor
Scenedesmus,,11a-NakeChlor
Selenastrum,,11a-NakeChlor
Stauridium,tetras,11a-NakeChlor
