Taxa,Class,Order,Family,Genus,functional.group,Nitrogen.fixation,Si.demand,Mixotrophy,Colony,Mobility,Pigment,Ind_size,Colony_size,Source,System
Acanthoceras sp.,Bacillariophyceae,Chaetocerotanae incertae sedis,Acanthocerataceae,Acanthoceras,,0,1,0,0,0,BW,,2400,Kanako,
Acanthoceras zachariasi,Bacillariophyceae,Chaetocerotanae incertae sedis,Acanthocerataceae,Acanthoceras,,0,1,0,0,0,BW,,2400,Kanako,
Acanthoceras zachariasii,Bacillariophyceae,Chaetocerotanae incertae sedis,Acanthocerataceae,Acanthoceras,,0,1,0,0,0,BW,,2214.872701,Lin,Ks
Acanthoceras zachariasii,Bacillariophyceae,Chaetocerotanae incertae sedis,Acanthocerataceae,Acanthoceras,,0,1,0,0,0,BW,,13817,Klais,
Acanthoceras zachariasii,Bacillariophyceae,Chaetocerotanae incertae sedis,Acanthocerataceae,Acanthoceras,,0,1,0,0,0,BW,,NA,SCOR,
Acanthoceras zachariasii,Bacillariophyceae,Chaetocerotanae incertae sedis,Acanthocerataceae,Acanthoceras,,0,1,0,0,0,BW,,10566.28364,Kremer,
Acanthoceras zachariasii,Bacillariophyceae,Chaetocerotanae incertae sedis,Acanthocerataceae,Acanthoceras,,0,1,0,0,0,BW,2400,2400,Maiko,Inba
Acanthoica quattrospina,Prymnesiophyceae,Syracosphaerales,Rhabdosphaeraceae,Acanthoica,,0,0,1,0,1,BW,,NA,SCOR,
Acanthosphaera spp.,Chlorophyceae,Chlorococcales,Micractiniaceae,Acanthosphaera,F,0,0,0,0,0,G,,314,Lin,Ks
Acanthosphaera spp.,Chlorophyceae,Chlorococcales,Micractiniaceae,Acanthosphaera,F,0,0,0,0,0,G,500,500,Maiko,Inba
Acanthosphaera zachariasi,Chlorophyceae,Chlorococcales,Micractiniaceae,Acanthosphaera,F,0,0,0,0,0,G,,500,Kanako,
Acanthosphaera zachariasii,Chlorophyceae,Chlorococcales,Micractiniaceae,Acanthosphaera,F,0,0,0,0,0,G,500,500,Maiko,Inba
Achnanthes,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,1,0,BW,,629.3119017,Klais,
Achnanthes amoena,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,55.22530159,Kremer,
Achnanthes biasolettiana,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,136.9563628,Kremer,
Achnanthes brevipes,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,1444.078792,Kremer,
Achnanthes catenata,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,132,Orlane,Gv
Achnanthes chlidanos,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,280.4425075,Kremer,
Achnanthes coarctata,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,65.3,Kremer,
Achnanthes conspicua,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,48.78951008,Kremer,
Achnanthes curvirostrum,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,1633.204899,Kremer,
Achnanthes deflexa,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,73.75899237,Kremer,
Achnanthes exilis,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,225,Orlane,Gv
Achnanthes flexella,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,2500,Orlane,Gv
Achnanthes gracillima,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,MP,0,1,0,0,0,BW,,159,Kremer,
